sentences,labels
"['导航', '到', '和田', '市公安局']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '到', '国际', '商贸城']","['X', 'X', 'X', 'IG', 'IG']"
"['两个', '都', '不是']","['X', 'X', 'X']"
"['去', '呼市', '和', '林', '蒙牛', '公司']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '哈', '医大', '一', '院']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['到', '钱', '家', '湾']","['X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
"['导航', '到', '贵州省', '炉', '盘', '水', '市', '水城', '县', '双', '水', '六六', '高速', '路口']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['鲁山', '市', '建行']","['IA', 'IA', 'IA']"
"['到临', '沅', '湘', '河', '镇']","['X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '洋浦', '大街', '与', '合肥', '路', '交汇']","['IO', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '娄', '桥', '高速', '收费站']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['西固', '人家']","['IA', 'IA']"
"['取消', '导航']","['IO', 'IN']"
"['我', '要', '去', '佳美', '建材', '市场']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '六十三', '小学']","['IO', 'X', 'IG', 'IG']"
"['导航', '到', '新野', '县']","['IO', 'X', 'IG', 'IG']"
"['导航', '去', '高', '力', '新村']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '亦庄', '远洋', '天', '著', '二期']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
"['(', 'side', ')']","['X', 'X', 'X']"
"['闭', '导航']","['IO', 'IN']"
"['导航', '到', '三义', '和', '酒楼']","['IO', 'X', 'IG', 'IG', 'IG']"
"['附近', '的', '奇瑞', '四', 's', '店']","['IK', 'X', 'IC', 'IC', 'IC', 'IC']"
"['为', '我', '导航']","['X', 'X', 'IO']"
"['到', '合肥', '北', '二环', '国际', '汽车城']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '三', '和悦', '城']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['开始', '导航']","['IO', 'IO']"
