sentences,labels
['第二个'],['IP']
"['导航', '重庆', '师范大学', '图书馆']","['IO', 'IG', 'IG', 'IG']"
"['我', '现在', '在', '哪里']","['X', 'X', 'X', 'X']"
"['导航', '到', '左权县', '科目', '一', '考场']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '第一个']","['X', 'X', 'X', 'IP']"
['导航'],['IO']
"['语音', '导航']","['X', 'IO']"
"['导航', '柳', '开', '馨', '苑']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['营口', '客运站']","['IA', 'IA']"
"['我', '去', '新郑市', '八千', '乡', '人民政府']","['X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['(', 'unknown', ')', '中医院']","['X', 'X', 'X', 'IA']"
"['导航', '张家口']","['IO', 'IG']"
"['关闭', '导航']","['IO', 'IN']"
"['去', '闵行区', '纪', '翟', '路', '八百八十', '八号']","['X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
['第一个'],['IP']
['一个'],['X']
"['导航', '罗汉', '洞', '收费站']","['IO', 'IG', 'IG', 'IG']"
"['导航', '凯迪拉克', '四', 's', '店']","['IO', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '叫', '什么', '他们', '的']","['X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '(', 'unknown', ')']","['IO', 'X', 'X', 'X']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['导航', '青', '川', '县']","['IO', 'IG', 'IG', 'IG']"
"['我', '要', '去', '卸', '店', '街']","['X', 'X', 'X', 'IG', 'IG', 'IG']"
"['四平', '小区']","['IA', 'IA']"
"['导航', '取消']","['IN', 'IO']"
"['停止', '导航']","['IO', 'IN']"
"['微', '导航', '湟', '源', '西', '石峡']","['X', 'IO', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '紫金县', '城']","['X', 'X', 'X', 'IG', 'IG']"
"['导航', '去', '仁和', '家园']","['IO', 'X', 'IG', 'IG']"
"['栖霞', '北', '收费站']","['IA', 'IA', 'IA']"
"['到', '利辛', '县']","['X', 'IG', 'IG']"
['纪念馆'],['IA']
"['导航', '到', '泉州', '动', '车站']","['IO', 'X', 'IG', 'IG', 'IG']"
"['我', '去', '范县']","['X', 'X', 'IG']"
"['到', '凯德', '华']","['X', 'IG', 'IG']"
"['阆中', '市', '防疫站']","['IA', 'IA', 'IA']"
"['导', '到', '锦州', '世博园']","['IO', 'X', 'IG', 'IG']"
"['我', '要', '吃饭']","['X', 'X', 'IA']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['到', '县政府', '吴旗县']","['X', 'IG', 'IG']"
['导航'],['IO']
"['打开', '去', '兰州', '的', '导航']","['IO', 'X', 'IG', 'X', 'IN']"
"['导航', '去', '杭州市', '萧山', '机场', 'b', '楼']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['去', '五', '家', '渠', '职业', '技术学校']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['我', '要', '去', '沈阳北', '站']","['X', 'X', 'X', 'IG', 'IG']"
"['临河', '区', '第六中学']","['IA', 'IA', 'IA']"
"['我', '要', '去', '青岛']","['X', 'X', 'X', 'IG']"
"['我', '要', '回家']","['X', 'X', 'X']"
"['导航', '去', '桐', '昆', '集团']","['IO', 'X', 'IG', 'IG', 'IG']"
"['到', '(', 'unknown', ')', '路', '派出所']","['X', 'X', 'X', 'X', 'X', 'IA']"
"['叫', '你', '导', '到', '境外', '中学']","['X', 'X', 'IO', 'X', 'IG', 'IG']"
"['到', '中卫']","['X', 'IG']"
"['去', '哪里', '呢']","['X', 'X', 'X']"
"['导航', '到', '展望', '数码', '摄影', '楼']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['去', '滨州', '职业', '学院']","['X', 'IG', 'IG', 'IG']"
"['你', '好', '捷', '渡']","['X', 'X', 'X', 'X']"
"['(', 'unknown', ')', '九江', '煤矿']","['X', 'X', 'X', 'IA', 'IA']"
"['好', '请', '结束']","['X', 'X', 'IO']"
"['(', 'unknown', ')', '导航']","['X', 'X', 'X', 'IO']"
['回家'],['X']
['第二个'],['IP']
"['取消', '导航']","['IO', 'IN']"
"['导航', '到', '深圳', '路', '安海', '滨海', '休闲', '带', '西段', '停车场']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')', '要', '睡觉', '，', '搜索', '难忘', '今宵', '这']","['X', 'X', 'X', 'X', 'X', 'X', 'IO', 'IA', 'IA', 'X']"
"['下', '一', '页']","['IQ', 'IQ', 'IQ']"
"['帮', '我', '找', '一下', '附近', '有', '西', '(', 'unknown', ')']","['X', 'X', 'IO', 'X', 'IK', 'X', 'X', 'X', 'X', 'X']"
"['闭', '导航']","['IO', 'IN']"
"['(', 'side', ')', '(', 'unknown', ')', '就', '这', '条', '路', '通', '(', 'unknown', ')']","['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '去', '支农', '大街', '和', '振兴', '路']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '南南', '线', '医院']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '去', '四季', '青', '爱', '义行']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
['梅花'],['IA']
"['(', 'side', ')']","['X', 'X', 'X']"
"['我', '要', '去', '寿光', '一', '中东', '北门']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['黄果树', '瀑', '(', 'unknown', ')']","['IA', 'IA', 'X', 'X', 'X']"
"['山镇', '卧龙', '山']","['IA', 'IA', 'IA']"
"['带', '我', '到', '车站']","['X', 'X', 'X', 'IG']"
"['去', '京广', '路', '长城', '宾馆']","['X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '厦门', '鼓浪屿']","['IO', 'X', 'IG', 'IG']"
"['(', 'side', ')', '这', '是', '第一个', '是', '吧', '，', '第一个']","['X', 'X', 'X', 'X', 'X', 'IP', 'X', 'X', 'X', 'IP']"
"['(', 'side', ')', '，', '正门', '正门']","['X', 'X', 'X', 'X', 'IA', 'IA']"
"['我', '要', '去', '江阴', '步行街', '如', '家', '快捷', '酒店']","['X', 'X', 'X', 'IG', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['(', 'side', ')']","['X', 'X', 'X']"
['第二个'],['IP']
['第一个'],['IP']
"['我', '要', '去', '牡丹江', '百货大楼']","['X', 'X', 'X', 'IG', 'IG']"
"['东湖', '高新']","['IA', 'IA']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['关闭', '导航', '(', 'robot', ')', '(', 'unknown', ')', '拥抱', '更', '美好', '的', '未来']","['IO', 'IN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X']"
"['导航', '城阳', '喆', '啡', '酒店']","['IO', 'IG', 'IG', 'IG', 'IG']"
['取消'],['IO']
"['导航', '到', '顺义区', '金马', '工业区']","['IO', 'X', 'IG', 'IG', 'IG']"
"['导航', '到', '天府', '二', '街', '平安', '银行']","['IO', 'X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['泰安', '大学']","['IA', 'IA']"
"['取消', '导航']","['IO', 'IN']"
"['航', '到', '济南', '中', '虹', '市场']","['X', 'X', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到', '石岩', '宏', '发', '工业区']","['IO', 'X', 'IG', 'IG', 'IG', 'IG']"
"['我', '需要', '导航', '了']","['X', 'X', 'IO', 'X']"
"['带', '了']","['X', 'X']"
"['去', '和', '阳', '桥', '镇', '派出所']","['X', 'IG', 'IG', 'IG', 'IG', 'IG']"
"['导航', '到']","['IO', 'X']"
"['(', 'unknown', ')']","['X', 'X', 'X']"
"['结束', '导航']","['IO', 'IN']"
"['合肥市', '望', '江东路', '桐城', '南路', '桐江', '新村']","['IA', 'IA', 'IA', 'IA', 'IA', 'IA', 'IA']"
